"TECH1_Mostly positive","TECH1_Equal positive and negative effects","TECH1_Mostly negative","INTMOB_Yes","INTMOB_No","SNSINT2_Yes","SNSINT2_No","Q20_Very confident","Q20_Somewhat confident","Q20_A little confident","INTFREQ_Almost constantly","INTFREQ_Several times a day","INTFREQ_About once a day","INTFREQ_Several times a week","DEVICE1a_Yes, I have a cellphone","DEVICE1a_No, I do not have a cellphone","Q1_Disapprove","Q1_Approve","Q1_Don't know","Q1a_","Q1a_Very strongly","Q1a_Not so strongly","Q1b_Very strongly","Q1b_","Q1b_Not so strongly","Q.30F2_A weaker position internationally","Q.30F2_A stronger position internationally","Q.30F2_About the same position internationally","Q.30F2_Don't know","Q.19F2_Too impulsive","Q.19F2_About right","Q.20F1_Worse than you expected","Q.20F1_About as you expected","Q.20F1_Better than you expected","Q.62F1_Mostly divided","Q.62F1_Mostly united","Q.62F1_Don't know","Q0_Male","Q0_Female","Q2_White","Q2_Other","Q2_Black or African American","Q2_Asian","Q5_No","Q5_Yes","Q4_Some college/associate degree","Q4_College degree","Q4_High school diploma (or equivalent)","Q4_Postgraduate degree","Q7_Democrat","Q7_Republican","Q7_Independent","Q7_Other","Q8_Liberal","Q8_Conservative","Q8_Moderate","Q8_Other","geq_29"
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
