"","x"
"TECH1_Mostly.positive",0.621207087486157
"TECH1_Equal.positive.and.negative.effects",0.351176633444075
"TECH1_Mostly.negative",0.0276162790697674
"INTMOB_Yes",0.988759689922481
"INTMOB_No",0.0112403100775194
"SNSINT2_Yes",0.937057032115172
"SNSINT2_No",0.0629429678848284
"Q20_Very.confident",0.734288482834994
"Q20_Somewhat.confident",0.214424141749723
"Q20_A.little.confident",0.0512873754152824
"INTFREQ_Almost.constantly",0.637583056478405
"INTFREQ_Several.times.a.day",0.30718438538206
"INTFREQ_About.once.a.day",0.0276162790697674
"INTFREQ_Several.times.a.week",0.0276162790697674
"DEVICE1a_Yes..I.have.a.cellphone",0.972383720930233
"DEVICE1a_No..I.do.not.have.a.cellphone",0.0276162790697674
"Q1_Disapprove",0.783831672203765
"Q1_Approve",0.131160022148394
"Q1_Don.t.know",0.0850083056478405
"Q1a_",0.868839977851606
"Q1a_Very.strongly",0.0337209302325581
"Q1a_Not.so.strongly",0.0974390919158361
"Q1b_Very.strongly",0.702353266888151
"Q1b_",0.216168327796235
"Q1b_Not.so.strongly",0.0814784053156146
"Q.30F2_A.weaker.position.internationally",0.770985603543743
"Q.30F2_A.stronger.position.internationally",0.0978543743078627
"Q.30F2_About.the.same.position.internationally",0.0850083056478405
"Q.30F2_Don.t.know",0.0461517165005537
"Q.19F2_Too.impulsive",0.918521594684385
"Q.19F2_About.right",0.0814784053156146
"Q.20F1_Worse.than.you.expected",0.477837763012182
"Q.20F1_About.as.you.expected",0.425913621262458
"Q.20F1_Better.than.you.expected",0.0962486157253599
"Q.62F1_Mostly.divided",0.69125138427464
"Q.62F1_Mostly.united",0.17203765227021
"Q.62F1_Don.t.know",0.136710963455149
"Q0_Male",0.5
"Q0_Female",0.5
"Q2_White",0.82796234772979
"Q2_Other",0.0353266888150609
"Q2_Black.or.African.American",0.0629429678848284
"Q2_Asian",0.0737679955703212
"Q5_No",0.90609080841639
"Q5_Yes",0.0939091915836102
"Q4_Some.college.associate.degree",0.3921926910299
"Q4_College.degree",0.439714839424142
"Q4_High.school.diploma..or.equivalent.",0.105564784053156
"Q4_Postgraduate.degree",0.0625276854928018
"Q7_Democrat",0.497937430786268
"Q7_Republican",0.156436877076412
"Q7_Independent",0.321954595791805
"Q7_Other",0.023671096345515
"Q8_Liberal",0.517109634551495
"Q8_Conservative",0.194518272425249
"Q8_Moderate",0.264700996677741
"Q8_Other",0.023671096345515
"geq_29",0.662790697674419
"weight",1
